,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
192,Toby Alderweireld,Tottenham,30.0,2610.0,1,0,8.04,7.41,0.07,0.01,0.08
193,Mousa Dembélé,Tottenham,30.0,2085.0,1,1,9.29,8.62,0.02,0.04,0.07
194,Erik Lamela,Tottenham,9.0,590.0,1,1,2.42,1.16,0.27,0.18,0.46
195,Ryan Mason,Hull,16.0,931.0,1,0,1.44,0.78,0.06,0.03,0.09
196,Tom Carroll,"Swansea, Tottenham",18.0,1395.0,1,2,3.71,3.03,0.02,0.1,0.12
197,Diafra Sakho,West Ham,4.0,183.0,1,0,0.14,0.02,0.3,0.03,0.32
198,Ben Davies,Tottenham,23.0,1729.0,1,3,7.04,5.68,0.02,0.14,0.16
199,Idrissa Gueye,Everton,33.0,2700.0,1,1,13.02,10.61,0.07,0.07,0.14
200,Rudy Gestede,Middlesbrough,16.0,514.0,1,0,2.3,0.3,0.23,0.14,0.36
201,Jordan Ayew,Swansea,14.0,858.0,1,3,3.0,0.8,0.11,0.19,0.3
202,César Azpilicueta,Chelsea,38.0,3420.0,1,4,12.99,11.41,0.02,0.04,0.06
203,Nemanja Matic,Chelsea,35.0,2699.0,1,7,10.87,9.14,0.04,0.1,0.14
204,Angel Rangel,Swansea,18.0,811.0,1,0,2.64,2.45,0.03,0.08,0.1
205,Ashley Williams,Everton,36.0,3156.0,1,3,7.2,6.83,0.04,0.03,0.07
206,Kyle Naughton,Swansea,31.0,2722.0,1,0,7.3,5.37,0.02,0.06,0.08
207,Lamine Koné,Sunderland,30.0,2544.0,1,0,1.06,1.06,0.07,0.02,0.09
208,Wahbi Khazri,Sunderland,21.0,824.0,1,0,2.09,0.48,0.12,0.21,0.33
209,Billy Jones,Sunderland,27.0,2273.0,1,0,3.74,2.06,0.07,0.08,0.16
210,Wes Morgan,Leicester,27.0,2430.0,1,0,2.1,2.01,0.07,0.0,0.07
211,N'Golo Kanté,Chelsea,35.0,3141.0,1,1,14.05,11.9,0.06,0.05,0.12
212,Daniel Drinkwater,Leicester,29.0,2466.0,1,1,6.52,5.17,0.04,0.04,0.08
213,Leonardo Ulloa,Leicester,16.0,412.0,1,0,1.47,0.63,0.42,0.02,0.44
214,Daniel Amartey,Leicester,24.0,1651.0,1,1,2.94,2.1,0.05,0.03,0.08
215,Demarai Gray,Leicester,30.0,1015.0,1,3,3.55,1.22,0.09,0.16,0.25
216,Ben Chilwell,Leicester,12.0,686.0,1,0,2.74,1.73,0.09,0.05,0.14
217,Andy King,Leicester,23.0,1439.0,1,0,3.63,3.12,0.04,0.02,0.05
218,Robbie Brady,Burnley,14.0,710.0,1,2,1.5,0.32,0.1,0.2,0.3
219,James McClean,West Bromwich Albion,34.0,1444.0,1,2,3.11,1.21,0.09,0.15,0.24
220,Patrick Bamford,"Burnley, Middlesbrough",14.0,294.0,1,0,1.46,0.84,0.35,0.03,0.38
221,Adam Smith,Bournemouth,36.0,3094.0,1,5,10.95,7.34,0.04,0.14,0.18
222,Virgil van Dijk,Southampton,21.0,1857.0,1,0,4.36,4.2,0.07,0.02,0.09
223,Jordy Clasie,Southampton,16.0,1038.0,1,1,4.12,3.72,0.05,0.03,0.07
224,Oriol Romeu,Southampton,35.0,3071.0,1,0,11.35,10.56,0.05,0.03,0.09
225,Maya Yoshida,Southampton,23.0,2070.0,1,0,3.73,2.92,0.08,0.01,0.09
226,Marc Muniesa,Stoke,10.0,644.0,1,0,0.97,0.7,0.03,0.01,0.04
227,Mame Biram Diouf,Stoke,27.0,1381.0,1,2,4.55,1.88,0.19,0.09,0.27
228,Charlie Adam,Stoke,24.0,1504.0,1,3,7.21,5.0,0.16,0.15,0.31
229,Fabian Delph,Manchester City,7.0,216.0,1,0,1.55,1.31,0.09,0.15,0.24
230,Harry Arter,Bournemouth,35.0,2963.0,1,4,12.48,9.38,0.1,0.06,0.16
231,Ryan Shawcross,Stoke,35.0,3150.0,1,1,3.55,3.43,0.04,0.01,0.04
232,John Terry,Chelsea,9.0,489.0,1,0,0.54,0.47,0.28,0.1,0.38
233,Matthew Pennington,Everton,3.0,180.0,1,0,0.21,0.04,0.32,0.09,0.41
234,Harry Winks,Tottenham,21.0,455.0,1,1,2.75,1.61,0.2,0.13,0.33
235,Ben Mee,Burnley,34.0,3018.0,1,0,2.83,2.77,0.03,0.01,0.03
236,Stephen Ward,Burnley,37.0,3233.0,1,1,5.22,3.25,0.04,0.06,0.1
