,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
67,Scott McTominay Man Utd,25, D(C), D(C),24(8),2128,1.6,0.9,1.5,0,1.3,0.4,0.3,0,6.93
68,Ben Mee Burnley,32, D(CL),,30,2694,1.1,1.4,0.5,0.7,4.9,0.5,1.5,0,6.93
69,Fred Man Utd,28, M(C),,27(3),2397,2.7,1.5,1.5,0,0.7,2.0,0.3,0,6.92
70,César Azpilicueta Chelsea,32, D(CLR), D(CLR),24(2),2191,2,1.1,1.2,0.1,2.3,0.7,0.2,0,6.92
71,Ademola Lookman Fulham,24, AM(CLR), AM(CLR),31(3),2756,1,0.6,1.4,0,0.2,0.9,0,0,6.92
72,Michael Keane Everton,28, D(CR),,33(2),2990,0.8,1.5,0.4,0.3,4.5,0.5,0.9,0,6.92
73,Rúben Dias Man City,24, D(C),,32,2845,0.8,1.1,0.7,0.3,2.8,0.4,0.7,1,6.91
74,Thiago Silva Chelsea,37, D(C),,23,1938,0.9,1.4,0.6,0.6,3.6,0.3,0.6,0,6.91
75,Illan Meslier Leeds,21, GK,,35,3150,0,0,0,0,1.2,0,0,1,6.91
76,Matt Targett Aston Villa,26, D(L), D(L),38,3405,2.2,1.4,0.7,0.2,2.3,0.8,0.4,0,6.9
77,Nélson Semedo Wolves,28, D(LR), D(LR),34,2988,2.5,1.2,1.2,0.2,2.1,0.9,0.3,1,6.9
78,Diogo Jota Liverpool,25, AM(CLR), AM(CLR),12(7),1113,0.6,0.3,1.3,0,0.2,1.4,0,0,6.89
79,Jannik Vestergaard Southampton,29, D(C),,29(1),2575,1.7,1.4,0.6,0.5,4.0,0.6,0.5,0,6.89
80,Alexandre Lacazette Arsenal,30, M(CLR), M(CLR),22(9),1931,0.6,0.4,1.2,0,0.4,0.6,0,0,6.89
81,Andros Townsend Crystal Palace,30, AM(LR), AM(LR),25(9),2259,2.3,1.2,0.8,0,0.4,1.4,0.1,0,6.88
82,John McGinn Aston Villa,27, M(C),,37,3330,1.6,1.2,1.2,0.1,0.6,1.5,0.2,0,6.88
83,Wilfried Zaha Crystal Palace,29, AM(LR), AM(LR),29(1),2614,0.9,0.3,1.1,0,0,0.6,0,0,6.88
84,Andrew Robertson Liverpool,27, D(L), D(L),38,3386,1.2,0.6,0.6,0.3,1.8,0.8,0.2,0,6.88
85,Bukayo Saka Arsenal,20, D(L), D(L),30(2),2562,0.8,0.8,0.9,0,0.6,0.9,0.1,1,6.88
86,Jorginho Chelsea,30, DMC,,23(5),2014,2.0,1.4,1.1,0,0.7,1.6,0.2,0,6.88
87,Jonny Evans Leicester,33, D(CL),,28,2476,0.9,1.6,0.6,0.6,3.4,0.2,0.1,1,6.87
88,Romain Saïss Wolves,31, D(C), D(C),27,2408,1.3,1.9,1.1,0.5,4.1,0.5,0.5,0,6.87
89,Stuart Dallas Leeds,30, D(LR), D(LR),38,3411,1.9,1.2,1.1,0.1,1.2,1.5,0.1,0,6.87
90,Dwight McNeil Burnley,22, M(LR),,34(2),3071,1.3,0.9,0.3,0,0.5,1.1,0.2,0,6.87
91,Nick Pope Burnley,29, GK,,32,2880,0,0.1,0.1,0,1.3,0,0,0,6.86
92,Tanguy Ndombele Tottenham,24, M(C),,28(5),2108,1.2,0.6,0.8,0,0.3,0.8,0.1,0,6.86
93,Yerry Mina Everton,27, D(C),,23(1),1939,0.9,1.0,0.9,0.3,4.5,0.2,1,0,6.86
94,N'Golo Kanté Chelsea,30, DMC,,24(6),2146,2.6,2.0,1.2,0,0.9,1,0.1,0,6.86
95,Toby Alderweireld Tottenham,32, D(CR),,25,2241,1.4,0.4,0.7,0.7,4.6,0.5,1.1,1,6.86
96,Dani Ceballos Arsenal,25, M(CL),,17(8),1616,1.5,1.4,0.9,0.1,0.6,1.2,0.2,0,6.85
97,Bertrand Traoré Aston Villa,26, AM(R), AM(R),29(7),2338,0.7,0.4,0.9,0,0.3,0.7,0,0,6.85
98,Mateo Kovacic Chelsea,27, M(CL),,21(6),1820,1.7,0.6,0.6,0,0.3,0.6,0,0,6.84
99,Joël Veltman Brighton,29, D(CR), D(CR),25(3),2283,2.4,1.2,1.2,0.2,2.1,1,0.2,0,6.84
100,Oleksandr Zinchenko Man City,25, D(L), D(L),15(5),1474,1.3,1.2,0.5,0.2,1.3,0.5,0.2,0,6.84
101,Antonee Robinson Fulham,24, D(L), D(L),24(4),2162,1.6,1.3,0.7,0.1,1.9,0.6,0.1,0,6.84
102,Kelechi Iheanacho Leicester,25, AM(C), AM(C),16(9),1458,0.5,0.1,1.0,0,0,0.5,0,0,6.84
103,Anthony Martial Man Utd,26, AM(LR), AM(LR),17(5),1488,0.1,0,0.7,0,0.4,0.5,0.1,0,6.84
104,Lewis Dunk Brighton,30, D(C),,33,2933,0.9,1,0.7,0.7,3.2,0.2,0.6,1,6.84
105,Kyle Walker-Peters Southampton,24, D(LR),,30,2649,2.8,1.3,1.1,0.2,1.7,0.8,0.3,0,6.84
106,Danny Ings Southampton,29, AM(C), AM(C),26(3),2185,0.8,0.1,0.7,0,0.7,0.6,0.1,0,6.84
107,Callum Wilson Newcastle,29, FW,,23(3),2086,0.5,0.3,1.5,0,0.5,0.4,0.1,0,6.84
108,Trézéguet Aston Villa,27, AM(LR),,12(9),1166,1.6,0.9,1.9,0,0.6,1.5,0,0,6.83
109,Timothy Castagne Leicester,26, D(CR), D(CR),27,2346,1.9,1.1,0.7,0.2,1.9,0.7,0.2,0,6.82
110,Pascal Groß Brighton,30, M(CR), M(CR),27(7),2482,1.3,0.7,0.6,0,0.4,0.9,0.1,0,6.82
111,Fabinho Liverpool,28, D(CR), D(CR),28(2),2565,1.9,1.5,1.0,0.5,2.2,0.9,0.3,0,6.82
112,Stuart Armstrong Southampton,29, AM(CLR),,32(1),2774,1.8,0.7,1.0,0.1,0.6,1.5,0,0,6.82
113,Jordan Henderson Liverpool,31, D(C), D(C),20(1),1708,1.1,1.6,0.4,0.6,1.2,0.8,0,0,6.82
114,Aaron Cresswell West Ham,32, D(CL), D(CL),36,3172,0.9,0.9,0.4,0.1,2.0,0.4,0.4,0,6.81
115,Chris Wood Burnley,30, FW,,32(1),2750,0.4,0,1.2,0,0.6,0.4,0.1,0,6.81
116,Eberechi Eze Crystal Palace,23, AM(CLR),,29(5),2565,0.8,0.7,0.5,0,0.2,0.6,0.1,0,6.81
117,Rúben Neves Wolves,24, DMC,,31(5),2680,2.4,1.8,1.3,0.1,1.1,1.4,0.3,0,6.81
118,Fernandinho Man City,36, D(CR), D(CR),12(9),1185,1.5,1.1,1.0,0.1,0.8,1.1,0.1,0,6.81
119,Timo Werner Chelsea,25, AM(CLR), AM(CLR),29(6),2608,0.6,0.2,0.8,0,0.2,1.0,0,0,6.81
120,Pascal Struijk Leeds,22, D(C), D(C),22(5),2074,1.8,1.7,1,0.2,3.1,0.4,0.8,0,6.81
121,Tyrone Mings Aston Villa,28, D(CL),,36,3195,0.9,1.1,0.6,0.4,4.7,0.2,1.1,1,6.81
122,Jonjo Shelvey Newcastle,29, M(C),,29(1),2617,1.3,1.2,1,0,1.3,0.9,0.5,0,6.8
123,Leandro Trossard Brighton,27, AM(CLR), AM(CLR),30(5),2622,0.9,0.7,0.8,0,0.1,0.7,0.1,0,6.8
124,Joachim Andersen Fulham,25, D(C),,30(1),2730,1.1,1.4,1.3,1.1,4.8,0.4,0.4,0,6.79
125,Karl Darlow Newcastle,31, GK,,25,2250,0,0,0,0,1.7,0,0,0,6.79
126,Rob Holding Arsenal,26, D(CR),,28(2),2558,1.4,0.8,0.8,0.5,4.0,0.6,0.9,1,6.79
127,Anwar El Ghazi Aston Villa,26, AM(LR), AM(LR),17(11),1617,0.6,0.2,0.6,0,0.4,0.6,0,0,6.78
128,Abdoulaye Doucouré Everton,28, M(C),,29,2452,1.8,1.3,0.8,0.1,0.9,1,0.2,0,6.78
129,Pablo Fornals West Ham,25, M(CLR),,31(2),2583,1.3,1.1,0.8,0,0.2,1.9,0,0,6.78
130,Pierre-Emerick Aubameyang Arsenal,32, M(CLR), M(CLR),26(3),2337,0.4,0.2,0.4,0,0.5,0.6,0,1,6.78
131,Ben Godfrey Everton,23, D(CLR),,29(2),2683,1.8,1.1,0.5,0.3,3.5,0.5,1.2,1,6.78
132,Che Adams Southampton,25, AM(CL), AM(CL),30(6),2675,0.7,0.1,0.8,0.1,0.5,0.3,0.1,0,6.77
133,Adam Webster Brighton,26, D(C),,29,2595,1.0,1.6,0.8,0.3,2.9,0.4,0.6,0,6.77
134,Kyle Bartley West Brom,30, D(C),,28(2),2584,0.9,1.3,1.0,0.5,5.3,0.4,1.2,0,6.77
135,Emile Smith Rowe Arsenal,21, AM(CL),,18(2),1448,0.7,0.5,0.3,0,0.5,0.6,0.1,0,6.77
136,Allan Everton,30, DMC,,23(1),2052,3.3,0.8,1.5,0.1,1.0,2.8,0.5,0,6.77
137,Kyle Walker Man City,31, D(CR), D(CR),22(2),1947,1.2,0.6,1.0,0.3,0.9,0.3,0.3,0,6.77
138,Josh Brownhill Burnley,26, M(CR),,32(1),2816,1.4,2.1,1.1,0,1.1,0.9,0.3,0,6.76
139,Ferran Torres Man City,21, AM(LR), AM(LR),15(9),1306,0.5,0.1,0.7,0,0.3,0.5,0,0,6.76
140,Nicolas Pépé Arsenal,26, AM(LR), AM(LR),16(13),1614,0.7,0.4,0.4,0,0.4,0.5,0,0,6.76
141,Ross Barkley Aston Villa,28, M(CLR),,18(6),1537,0.3,0.2,0.5,0,0.3,0.5,0,0,6.75
142,Hugo Lloris Tottenham,34, GK,,38,3420,0,0,0,0,0.5,0,0,0,6.75
143,Willy Boly Wolves,30, D(C),,21,1880,1.6,1.5,0.7,0.2,4.0,0.5,0.6,0,6.75
144,Dan Burn Brighton,29, D(CL), D(CL),23(4),2060,1.9,1.1,1.3,0.1,2.6,1,0.3,1,6.75
145,Ezri Konsa Aston Villa,24, D(CR),,35(1),3193,0.7,0.8,0.5,0.4,4.4,0.1,1.3,0,6.75
146,Jarrod Bowen West Ham,25, AM(CLR), AM(CLR),30(8),2579,0.7,0.6,0.4,0,0.1,0.5,0,0,6.75
147,Thomas Partey Arsenal,28, D(R), D(R),18(6),1537,1.8,1,0.8,0,0.6,1.3,0.2,0,6.75
148,Joelinton Newcastle,25, AM(LR), AM(LR),23(8),1990,1.1,0.3,0.8,0,0.7,0.7,0.1,0,6.75
149,Christian Pulisic Chelsea,23, M(CLR),,18(9),1738,0.7,0.4,0.5,0,0.3,0.5,0.1,0,6.74
150,Marc Albrighton Leicester,32, M(LR),,17(14),1744,1.1,0.5,0.3,0.1,0.6,0.9,0.1,0,6.74
151,Çaglar Söyüncü Leicester,25, D(C),,19(4),1816,1.2,1.2,0.8,0.6,3.4,0.6,0.4,0,6.74
152,Alphonse Areola Fulham,28, GK,,36,3240,0,0,0,0,1.1,0.1,0,0,6.74
153,Sam Johnstone West Brom,28, GK,,37,3330,0,0.1,0,0,1.0,0,0,0,6.74
154,Alisson Liverpool,29, GK,,33,2970,0.1,0.1,0,0,1.3,0,0,0,6.73
155,Granit Xhaka Arsenal,29, D(L), D(L),29(2),2522,1.6,0.8,1.3,0,1.2,0.9,0.2,0,6.73
156,Tosin Adarabioyo Fulham,24, D(CR),,33,2954,1.1,1.3,0.5,0.8,5.8,0.6,0.6,1,6.73
157,Angelo Ogbonna West Ham,33, D(C),,28,2493,0.9,1.1,1,0.5,4.1,0.3,0.4,0,6.73
158,Gabriel Magalhães Arsenal,24, D(C),,22(1),1997,1.1,1.1,1,0.5,3.2,0.3,0.8,0,6.73
159,Callum Hudson-Odoi Chelsea,21, M(CLR),,10(13),1060,1,0.3,0.5,0,0.2,0.6,0,0,6.73
160,David McGoldrick Sheff Utd,34, AM(CLR), AM(CLR),28(7),2402,0.9,0.1,1.3,0,0.7,0.5,0.1,0,6.72
161,Mason Greenwood Man Utd,20, AM(R), AM(R),21(10),1826,0.4,0.2,0.5,0,0,0.5,0,0,6.72
162,Sergio Reguilón Tottenham,25, D(L), D(L),26(1),2249,1.7,1.2,1.0,0.3,1.5,0.9,0.3,1,6.72
163,Conor Townsend West Brom,28, D(CL), D(CL),25,2235,1.8,1.4,0.6,0.1,2,0.8,0.6,0,6.72
164,Matthew Lowton Burnley,32, D(LR), D(LR),34,3060,1.6,1.6,0.6,0.3,2.3,1.2,0.4,0,6.71
165,Hakim Ziyech Chelsea,28, M(CLR),,15(8),1180,0.6,0.4,0.8,0,0,0.6,0,0,6.71
166,Jan Bednarek Southampton,25, D(C),,36,3104,1.0,2.3,0.8,0.8,3.7,0.7,0.8,1,6.7
167,Tyrick Mitchell Crystal Palace,22, D(L),,19,1710,3.4,1.1,0.4,0.2,2.4,0.9,0.5,0,6.7
168,Ethan Ampadu Sheff Utd,21, D(C), D(C),23(2),2091,2.3,2.0,1.0,0.2,3.3,1.0,0.8,1,6.7
169,Tammy Abraham Chelsea,24, FW,,12(10),1036,0.3,0.2,1.0,0,0.8,0.3,0,0,6.7
170,Victor Lindelöf Man Utd,27, D(CR),,29,2586,0.8,1.1,0.8,0.6,3.3,0.4,0.5,0,6.69
171,Kenny Tete Fulham,26, D(CR), D(CR),18(4),1483,2.2,1.2,1.3,0.2,2.0,0.4,0.2,0,6.69
172,Chris Basham Sheff Utd,33, D(CR), D(CR),31,2586,2.2,1.6,0.8,0.3,3.3,0.8,0.5,0,6.69
173,Héctor Bellerín Arsenal,26, D(R), D(R),24(1),2093,1.2,1.3,0.8,0.1,1.2,1.2,0.3,0,6.69
174,Daniel Podence Wolves,26, AM(CLR), AM(CLR),22(2),1679,0.5,0.5,0.6,0,0.1,0.7,0,0,6.68
175,Kieran Tierney Arsenal,24, D(CL), D(CL),26(1),2302,1.0,0.6,0.5,0.2,2.1,0.7,0.4,0,6.68
176,Oliver McBurnie Sheff Utd,25, AM(CL), AM(CL),12(11),1319,0.7,0.3,1.0,0,1.3,0.5,0.1,0,6.67
177,João Moutinho Wolves,35, M(C),,28(5),2534,2.3,1.4,1.3,0.1,0.7,1.7,0.1,0,6.67
178,Douglas Luiz Aston Villa,23, M(C),,32(1),2790,1.5,1.3,1.8,0,1.2,1.2,0.5,0,6.67
179,Edinson Cavani Man Utd,34, AM(LR), AM(LR),13(13),1372,0.5,0.2,0.8,0,0.4,0.4,0,0,6.67
180,Rodrigo Leeds,30, M(CLR), M(CLR),14(12),1291,0.5,0.2,0.7,0,0.6,0.7,0,0,6.67
181,Craig Dawson West Ham,31, D(CR),,22,1926,0.5,1.5,0.6,0.2,4.0,0.3,1,2,6.67
182,Charlie Taylor Burnley,28, D(L), D(L),28(1),2429,1.7,1.0,0.3,0.2,2.5,0.7,0.7,0,6.67
183,Isaac Hayden Newcastle,26, D(C), D(C),22(2),1946,2.2,1.8,1.6,0.1,1.9,0.9,0.4,0,6.67
184,Gylfi Sigurdsson Everton,32, M(CLR), M(CLR),24(12),2256,0.8,0.9,0.6,0,0.5,0.9,0.1,0,6.67
185,Danny Welbeck Brighton,31, AM(CLR), AM(CLR),17(7),1547,0.5,0.3,0.8,0,0.5,0.5,0,0,6.66
186,Jacob Murphy Newcastle,26, D(R), D(R),17(9),1621,1.5,0.5,0.9,0.1,0.9,1.0,0.1,0,6.66
187,Eric Dier Tottenham,27, D(CR), D(CR),28,2520,0.8,0.8,0.6,0.4,4.4,0.3,1.1,0,6.66
188,Harrison Reed Fulham,26, D(R), D(R),26(5),2251,2.0,1.6,1.3,0,0.8,1.4,0.4,0,6.66
189,Miguel Almirón Newcastle,27, AM(CLR), AM(CLR),28(6),2438,1.4,0.7,0.5,0,0.5,1.2,0.1,0,6.66
190,Willian Arsenal,33, AM(CLR),,16(9),1407,0.5,0.3,0.2,0,0.2,0.4,0,0,6.65
191,Séamus Coleman Everton,33, D(CR), D(CR),18(7),1612,1.6,0.5,0.5,0.1,1.3,0.4,0.2,0,6.65
192,Leander Dendoncker Wolves,26, D(C), D(C),28(5),2501,1.6,0.8,0.9,0.2,1.5,0.9,0.5,1,6.65
193,Jeffrey Schlupp Crystal Palace,28, D(L), D(L),15(12),1426,1.1,0.8,0.9,0,0.4,0.6,0.3,0,6.65
194,Jordan Pickford Everton,27, GK,,31,2743,0,0.1,0,0,1.3,0.1,0,0,6.65
195,Ciaran Clark Newcastle,32, D(CL),,21(1),1893,1.1,1.3,0.7,0.5,4.5,0.3,0.9,1,6.64
196,Federico Fernández Newcastle,32, D(C),,24,2083,1.2,0.7,0.6,0.7,6.0,0.2,1.3,1,6.64
197,Mason Holgate Everton,25, D(CR), D(CR),26(2),2290,2,1.3,1,0.3,2.9,1.1,0.5,0,6.63
198,Conor Gallagher West Brom,21, AM(C),,28(2),2532,2.7,0.9,1.4,0,0.9,2.3,0.3,0,6.63
199,Ashley Westwood Burnley,31, DMC,,38,3411,0.6,1.2,0.9,0,0.8,0.8,0.2,0,6.63
200,Lucas Moura Tottenham,29, AM(CLR), AM(CLR),14(16),1403,1.1,0.6,0.8,0,0.3,0.7,0,0,6.63
201,Ola Aina Fulham,25, D(CLR), D(CLR),31,2671,1.2,1.5,1,0.4,2.6,0.7,0.2,0,6.63
202,Lukasz Fabianski West Ham,36, GK,,35,3150,0,0,0,0,0.6,0,0,0,6.62
203,Darnell Furlong West Brom,26, D(CR), D(CR),32(3),2932,1.3,1.4,1,0.2,2.2,0.7,0.5,1,6.62
204,Georginio Wijnaldum Liverpool,31, M(CLR),,34(4),2947,0.6,0.7,0.4,0,0.4,0.6,0.1,0,6.62
205,Ezgjan Alioski Leeds,29, D(L), D(L),29(7),2466,2.1,0.6,1.1,0.1,1.1,1.2,0.1,0,6.62
206,Ederson Man City,28, GK,,36,3240,0.1,0,0,0,0.5,0,0,0,6.61
207,Kai Havertz Chelsea,22, M(CR), M(CR),18(9),1522,0.7,0.1,1,0.1,0.7,0.8,0,0,6.6
208,Benjamin White Brighton,24, D(C), D(C),36,3195,1.4,1.7,0.8,0.3,1.4,0.9,0.6,0,6.6
209,Ayoze Pérez Leicester,28, AM(CLR), AM(CLR),15(10),1333,1.3,0.4,1.2,0,0.3,1.4,0,0,6.6
210,Jamaal Lascelles Newcastle,28, D(C),,19,1628,0.7,0.6,0.9,0.4,4.4,0.2,0.9,0,6.6
211,Mario Lemina Fulham,28, DMC,,19(9),1705,2.2,1.1,1.1,0.1,0.7,0.8,0.2,0,6.6
212,Robert Sánchez Brighton,24, GK,,27,2430,0,0,0.1,0,0.5,0,0,0,6.59
213,Saïd Benrahma West Ham,26, AM(CLR),,14(16),1392,0.8,0.3,0.5,0,0.1,0.7,0,0,6.59
214,John Egan Sheff Utd,29, D(C),,30(1),2630,1.3,1.3,0.9,0.3,4.2,0.5,1,0,6.58
215,Curtis Jones Liverpool,20, M(C),,13(11),1178,0.7,0.8,0.8,0,0.4,0.5,0,0,6.58
216,Nemanja Matic Man Utd,33, DMC,,12(8),1102,1.3,1.1,0.7,0.1,0.5,0.9,0.3,0,6.58
