,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
31,Lucas Digne Everton,28, D(CL), D(CL),30,2682,0,7,0.4,1.5,0.6,0.7,0.1,0.7,1.1,7.08
32,Christian Benteke Crystal Palace,31, FW,,21(9),1819,10,1,2.4,0.5,0.5,0.7,0.5,0.9,2.0,7.08
33,Bernardo Silva Man City,27, M(CLR), M(CLR),24(2),2071,2,6,1.1,1,1.6,0.7,0.1,0.9,1.3,7.07
34,Kurt Zouma Chelsea,27, D(CR),,22(2),2025,5,0,1.1,0.2,0.1,0.3,0,0.2,0.3,7.07
35,Solly March Brighton,27, M(CLR),,19(2),1675,2,1,1.0,1.3,2.1,1.2,0.1,1.1,1.0,7.07
36,James Ward-Prowse Southampton,27, M(CR),,38,3420,8,7,1.1,1.6,0.4,0.7,0,0.4,0.9,7.07
37,Mohamed Salah Liverpool,29, AM(CLR), AM(CLR),34(3),3082,22,5,3.4,1.5,1.0,0.6,0.4,2.2,3.1,7.07
38,Liam Cooper Leeds,30, D(C),,25,2188,1,0,0.6,0,0.2,1.1,0,0,0.3,7.06
39,Serge Aurier Tottenham,28, D(CLR), D(CLR),19,1609,2,3,0.8,0.9,0.9,0.8,0.1,0.7,1.5,7.06
40,Paul Pogba Man Utd,28, M(CL),,21(5),1896,3,3,1.2,1.0,1.7,1.5,0.2,1.9,2.1,7.06
41,Harry Maguire Man Utd,28, D(C),,34,3048,2,1,1.1,0.2,0.2,0.9,0,0.2,0.3,7.04
42,John Stones Man City,27, D(CR),,22,1934,4,0,0.7,0.1,0.5,0.4,0,0.1,0.2,7.03
43,James Justin Leicester,23, D(CLR), D(CLR),23,2070,2,1,0.4,0.9,0.8,1.7,0.1,0.6,1.3,7.03
44,Luke Shaw Man Utd,26, D(CL), D(CL),30(2),2657,1,5,0.3,2.3,1.1,0.9,0.1,0.7,0.8,7.03
45,Patrick Bamford Leeds,28, AM(CLR), AM(CLR),37(1),3066,17,7,2.8,0.8,0.5,0.6,0.5,0.6,2.2,7.03
46,James Tarkowski Burnley,29, D(C),,36,3240,1,0,0.6,0.3,0.3,0.8,0.1,0.1,0.5,7.02
