,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
127,Anwar El Ghazi Aston Villa,26, AM(LR), AM(LR),17(11),1617,0,0.9,18.7,75.3,0.8,0.4,0,6.78
128,Abdoulaye Doucouré Everton,28, M(C),,29,2452,3,0.7,46.2,85.1,0,1.3,0.1,6.78
129,Pablo Fornals West Ham,25, M(CLR),,31(2),2583,4,0.9,32.1,79.4,0.2,0.8,0,6.78
130,Pierre-Emerick Aubameyang Arsenal,32, M(CLR), M(CLR),26(3),2337,3,0.8,21.5,78.0,0.3,0.4,0,6.78
131,Ben Godfrey Everton,23, D(CLR),,29(2),2683,2,0.1,39.3,84.7,0.1,1.2,0,6.78
132,Che Adams Southampton,25, AM(CL), AM(CL),30(6),2675,5,1.0,16.9,70.3,0,0.7,0.2,6.77
133,Adam Webster Brighton,26, D(C),,29,2595,0,0.2,63.4,80.9,0,3.4,0,6.77
134,Kyle Bartley West Brom,30, D(C),,28(2),2584,1,0.2,27.6,77.1,0,1.7,0,6.77
135,Emile Smith Rowe Arsenal,21, AM(CL),,18(2),1448,4,1.4,36.3,88.7,0.1,0.6,0.1,6.77
136,Allan Everton,30, DMC,,23(1),2052,0,0.7,44.0,85.6,0,2.4,0,6.77
137,Kyle Walker Man City,31, D(CR), D(CR),22(2),1947,1,0.3,72.2,90.2,0.1,3.7,0,6.77
138,Josh Brownhill Burnley,26, M(CR),,32(1),2816,1,0.5,35.5,78.3,0.1,1.0,0,6.76
139,Ferran Torres Man City,21, AM(LR), AM(LR),15(9),1306,2,0.8,16.9,85.2,0.1,0.4,0,6.76
140,Nicolas Pépé Arsenal,26, AM(LR), AM(LR),16(13),1614,1,0.4,21.7,81.1,0.2,0.2,0,6.76
141,Ross Barkley Aston Villa,28, M(CLR),,18(6),1537,1,1.6,30.3,84.8,0.8,1.4,0,6.75
142,Hugo Lloris Tottenham,34, GK,,38,3420,0,0,23.6,69.3,0,4.8,0,6.75
143,Willy Boly Wolves,30, D(C),,21,1880,1,0.1,49.3,82.5,0,1.9,0,6.75
