,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
258,Simon Mignolet,Liverpool,19.0,1710.0,0,0,2.06,2.06,0.0,0.0,0.0
259,James Milner,Liverpool,32.0,1734.0,0,3,10.22,8.3,0.06,0.18,0.24
260,Petr Cech,Arsenal,34.0,3042.0,0,0,3.38,3.38,0.0,0.0,0.0
261,Mohamed Elneny,Arsenal,13.0,870.0,0,1,5.31,4.85,0.03,0.08,0.11
262,Francis Coquelin,Arsenal,7.0,155.0,0,0,0.58,0.49,0.05,0.3,0.35
263,David Ospina,Arsenal,5.0,378.0,0,0,1.56,1.56,0.0,0.0,0.0
264,Calum Chambers,Arsenal,12.0,875.0,0,0,4.14,4.01,0.16,0.01,0.17
265,Wayne Hennessey,Crystal Palace,27.0,2430.0,0,0,2.21,1.82,0.0,0.01,0.01
266,Joel Ward,Crystal Palace,19.0,1621.0,0,1,3.6,2.8,0.01,0.05,0.06
267,Damien Delaney,Crystal Palace,2.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0
268,Pape Souaré,Crystal Palace,1.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0
269,Jason Puncheon,Crystal Palace,10.0,560.0,0,0,2.22,0.78,0.22,0.07,0.29
270,Yohan Cabaye,Crystal Palace,31.0,2422.0,0,1,9.49,6.56,0.08,0.13,0.21
271,Julian Speroni,Crystal Palace,11.0,990.0,0,0,0.86,0.86,0.0,0.0,0.0
272,Adrian Mariappa,Watford,28.0,2208.0,0,0,1.89,1.73,0.03,0.01,0.03
273,Martin Kelly,Crystal Palace,15.0,1199.0,0,0,0.73,0.72,0.03,0.01,0.03
274,Lee Chung-yong,Crystal Palace,7.0,126.0,0,0,0.56,0.5,0.01,0.07,0.08
275,Adrián,West Ham,19.0,1710.0,0,0,0.91,0.91,0.0,0.0,0.0
276,Winston Reid,West Ham,17.0,1455.0,0,0,1.9,1.79,0.01,0.01,0.02
277,Reece Oxford,West Ham,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
278,Kieran Gibbs,West Bromwich Albion,33.0,2836.0,0,1,5.82,3.98,0.01,0.06,0.07
279,David de Gea,Manchester United,37.0,3330.0,0,0,4.92,4.89,0.0,0.0,0.0
280,Daley Blind,Manchester United,7.0,361.0,0,0,1.48,1.31,0.03,0.1,0.13
281,Timothy Fosu-Mensah,Crystal Palace,21.0,1595.0,0,0,2.73,2.38,0.01,0.02,0.03
282,Marcos Rojo,Manchester United,9.0,649.0,0,0,2.27,2.21,0.01,0.01,0.02
283,Morgan Schneiderlin,Everton,30.0,2125.0,0,0,4.27,3.93,0.01,0.01,0.02
284,Ander Herrera,Manchester United,26.0,1249.0,0,2,4.2,3.25,0.03,0.1,0.13
285,Matteo Darmian,Manchester United,8.0,442.0,0,0,0.53,0.53,0.01,0.0,0.01
286,Sergio Romero,Manchester United,1.0,90.0,0,0,0.34,0.34,0.0,0.0,0.0
287,Heurelho Gomes,Watford,24.0,2130.0,0,0,1.6,1.6,0.0,0.0,0.0
288,Nyom,West Bromwich Albion,29.0,2307.0,0,1,3.01,2.11,0.0,0.04,0.05
289,Sebastian Prödl,Watford,21.0,1566.0,0,0,1.04,0.64,0.05,0.02,0.07
290,José Holebas,Watford,28.0,2385.0,0,4,3.87,3.21,0.02,0.14,0.16
291,Ben Watson,Watford,8.0,463.0,0,0,0.35,0.33,0.01,0.04,0.04
292,Nordin Amrabat,Watford,3.0,202.0,0,0,0.24,0.18,0.01,0.05,0.06
293,Craig Cathcart,Watford,7.0,496.0,0,0,0.13,0.13,0.03,0.0,0.03
294,Seamus Coleman,Everton,12.0,1038.0,0,1,3.16,2.08,0.12,0.07,0.19
295,John Stones,Manchester City,18.0,1310.0,0,0,10.53,10.46,0.09,0.0,0.09
296,Phil Jagielka,Everton,25.0,2066.0,0,0,3.92,3.91,0.04,0.0,0.04
297,James McCarthy,Everton,4.0,210.0,0,0,0.61,0.55,0.01,0.01,0.02
298,Ross Barkley,Chelsea,2.0,134.0,0,0,1.04,0.33,0.46,0.05,0.51
299,Aaron Lennon,"Burnley, Everton",29.0,1933.0,0,2,3.44,1.81,0.03,0.06,0.09
